,Template,Frequency,Class
40,[N:4].[n:3].[C:1]=[C:2]>>[C:1]-[C:2].[n:3]-C1-C-C-C-C-O-1.C-C(-C)(-C)-O-C(=O)-[N:4]_11-1-1_0000_0000,1,41
41,[N:4].[N:1]=[C:2]>>[N:1].[C:2]#[N:3].O=C(-[N:4])-O-C-c1:c:c:c:c:c:1_20-2-1_0000_0000,1,42
42,[O:1]-[C:2]>>[O:1].C-C(-O)(-P(-O)(-O)=O)-P(-O)(=O)-O-[C:2]_10_00_00,1,43
43,[O:1]=[c:2]:[n:3]>>[Na]-[O:1].F-[c:2]:[n:3]_10-1_000_000,1,44
44,[N:1]-[C:2]>>O=[N:1]-[O-].O=[N+](-[O-])-c1:c:c:c(-O-[C:2]):c:c:1_-10_10_00,1,45
45,[O:1]-[C:2]>>[O:1].O=[N+](-[O-])-c1:c:c:c:c:c:1-O-[C:2]_10_00_00,1,46
46,[N:3].[c:6]1:[n:5]:[c:4]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-N(-C)/[C:4]=[N:5]/[C:6]=O_21-1000_000000_000000,1,47
47,[F:1]-[C:2](-[F:3])-[F:4]>>[Br:1]-[C:2](-[Br:3])-[Br:4]_0000_0000_0000,1,48
48,[C:1]-[N:3]-[C:2]-[C:6]-[C:5]=[O:4]>>C-C-O-[C:1].[C:2]=[N:3].C-[Si](-C)(-C)-[O:4]-[C:5]=[C:6]_000000_000000_000000,1,49
49,[N:3].[N:1]#[C:2]>>O-[N:1].O=[C:2].C-C(-C)(-C)-O-C(=O)-[N:3]_21-1_000_000,1,50
50,[N:3].[N:4].[O:1]-[C:2]>>[O:1].I-[C:2].C-[Si](-C)(-C)-C-C-O-C-[N:3].C-C(-C)(-C)-O-C(=O)-[N:4]_10-1-1_0000_0000,1,51
51,[O:1]-[P:2]>>[O:1].Br-[P:2]_10_00_00,1,52
52,[C:1]-[C:2]>>Cl-[C:1].O-C(=O)-[C:2]_00_00_01,1,53
53,[N:1]-[C:2]-[N:3]>>[N:1].S=[C:2].C-C(-C)(-C)-O-C(=O)-[N:3]_100_000_000,1,54
54,[O:1]=[C:2]>>[O:1].C-C-C-C-N=[C:2]_20_00_00,1,55
55,[C:1]=[S:2].[S:3]=[c:4]>>[C:1]=[O:2].[O:3]=[c:4]_0000_0000_0000,1,56
56,[O:2].[c:3]:[n:1]:[c:4]>>[N:1].C-C(=O)-[O:2].[c:3]:o:[c:4]_2-100_0000_0000,1,57
57,[O:2].[n:5].[C:3]-[C:4]-[N:1]>>[N:1].C-C(-C)(-C)-[O:2].[C:3]=[C:4].C-[Si](-C)(-C)-C-C-O-C-[n:5]_1-1-10-1_00000_00000,1,58
58,[c:3]1:[n:2]:[c:1]:[n:5]:[n:4]:1>>S=[c:1]:[n:2].O=[C:3]-[N:4]-[N:5]_01012_00000_00000,1,59
59,[N:3].[C:1]-[N:2]>>[C:1]#[N:2].[N:3]=C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_-2-2-2_000_000,1,60
60,[N:3].[N:1]-[c:2]>>[N:1].I-[c:2].C-O-c1:c:c:c(-C-[N:3]-C-c2:c:c:c(-O-C):c:c:2):c:c:1_10-2_000_000,1,61
61,[n:2]:[c:3]:[o:1]>>[O:1].[N:2].F-C(-F)(-F)-C(=O)-O-[C:3]=O_120_000_000,1,62
62,[c:2]:[n:1]:[c:3]:[c:4]>>[N:1].F-[c:2].[C:3]#[C:4]_200-1_0000_0000,1,63
63,[O:2].[O:3].[n:7].[N:1]-[C:5](=[O:6])-[c:4]>>[N:1].C-[O:2].C-[O:3].I-[c:4].[C:5]#[O:6].C-[Si](-C)(-C)-C-C-O-C-[n:7]_1-1-1000-1_0000-110_0000000,1,64
64,[N:3].[N:1]-[S:2]>>[N:1].Cl-[S:2].C-O-c1:c:c:c(-C-[N:3]):c(-O-C):c:1_10-1_000_000,1,65
65,[O:1].[N:2]-[C:3]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1].C-C(-C)(-C)-O-C(=O)-[N:2].F-c1:c(-F):c(-F):c(-O-[C:3]):c(-F):c:1-F_-100_000_000,1,66
66,[O:1].[c:2]:[c:3]:[c:4]:[n:5]>>C-C(-C)(-C)-[O:1].[C:2]-[C:3]-[C:4]=[N:5]_-11100_00000_00000,1,67
67,[n:1]:[c:3]:[n:2]>>[N:1].[N:2].C-C-O-[C:3]=C(-C#N)-C#N_120_000_000,1,68
68,[O:1]-[C:2]>>[O:1].F-C(-F)(-F)-c1:c:c:c(-N-[C:2]):c:c:1_10_00_00,1,69
69,[O:1]-[S:2]>>[O:1].C-O-C(=O)-[C@H]1-C-[C@H](-O-[S:2])-C-N-1-S(=O)(=O)-c1:c:c:c2:c:c:c:c:c:2:c:1_10_00_00,1,70
70,[C:1]-[F:2]>>[C:1].C-C1(-C)-N(-[F:2])-S-c2:c:c:c:c:c:2-1_10_00_00,1,71
71,[C:1]-[Se:2]>>Cl-[C:1].C-[Se]-[Se:2]_00_00_00,1,72
72,[O:2]=[C:1]-[O:3]>>C=[C:1].[O:2]=[Mn](-[O:3])(=[O])=[O]_100_000_000,1,73
73,[O:3].[c:1]-[Cl:2]>>[c:1].Cl-S(=O)(=O)-[Cl:2].[O:3]-C-c1:c:c:c:c:c:1_10-1_000_000,1,74
74,[O:1]-[C:2]>>[O:1].Cl-C(=O)-c1:c:c:c(-O-[C:2]):c:c:1_10_00_00,1,75
75,[c:2]1:[c:1]:[n:3]:[c:4]:[s:5]:1>>O-[C:1]=[C:2].[N:3]-[C:4]=[S:5]_01200_00000_00000,1,76
76,[N:2].[N:1]-[C:3]>>[N:1].[N:2].O-[C:3]_210_110_000,1,77
77,[O:3].[n:1]:[c:5]:[c:4]:[n:2]>>[N:1].[N:2].C-C-[O:3].O-[C:4]-[C:5]-O_11-100_00000_00000,1,78
78,[O:2].[n:1]:[c:3]>>[N:1].C-C-[O:2].O=[C:3]_2-10_000_000,1,79
79,[n:2].[C:1]=[C:3]>>O=[C:1].C-C(-C)(-C)-O-C(=O)-[n:2].C-C-O-P(=O)(-[C:3])-O-C-C_0-11_000_000,1,80
80,[O:2].[N:1]-[C:3]>>[N:1].C-[O:2].O-C(=O)-C1=C(-N-[C:3])-C-C-C-1_1-10_000_000,1,81
81,[n:2]:[c:1]:[n:3]>>O=[C:1]-[N:2].C-C(-C)(-C)-O-C(=O)-[N:3]_010_000_000,1,82
82,[N:6]-[c:5]1:[c:4]:[c:3]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-C-O\[C:3]=[C:4]/[C:5]#[N:6]_12000-2_000000_000000,1,83
83,[n:3].[c:1]-[c:2]>>Br-[c:1].O-B(-O)-[c:2].C-O-c1:c:c:c(-C-[n:3]):c(-O-C):c:1_00-1_000_000,1,84
84,[N:1]-[c:2]:[n:3]>>[N:1].F-[c:2]:[n:3]-C(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_10-1_000_000,1,85
85,[N:3].[N:1]-[C:2]>>[N:1].C-O-[C:2].O=C-[N:3]_10-1_000_000,1,86
86,[C:1]=[S:2]>>O=[C:1].C-O-c1:c:c:c(-P2(=[S:2])-S-[PH](=S)-S-2):c:c:1_00_00_00,1,87
87,[N:3].[c:1]-[B:2]>>Br-[c:1].C-C1(-C)-[C@@H]2-C-[C@H]3-O-B(-[B:2])-O-[C@]-3(-C)-[C@H]-1-C-2.C-O-c1:c:c:c(-C-[N:3]):c(-O-C):c:1_00-1_000_000,1,88
88,[C:1]-[C:3]-[O:2]>>[C:1].C-[Si](-C)(-C)-C-C-[O:2]-[C:3]-Cl_1-10_000_000,1,89
89,[O:4]-[c:5]1:[n:3]:[c:2]:[n:1]:[o:6]:1>>O-[N:1]-[C:2]=[N:3].C-[O:4]-[C:5](-Cl)=[O:6]_101-100_000000_000000,1,90
90,[c:1]-[S:2]>>Br-[c:1].C-O-C(=O)-C-C-[S:2]_00_00_00,1,91
91,[O:1]-[C:2]>>[O:1].C-C-C(-C-C)(-C-C)-C(=O)-O-[C:2]_10_00_00,1,92
92,[O:1].[c:5]1:[c:6]:[c:7]:[n:2]:[c:3]:[n:4]:1>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1].[N:2]-[C:3]=[N:4].C-N(-C)/[C:5]=[C:6]/[C:7]=O_-1201000_0000000_0000000,1,93
93,[N:1]-[C:2]=[N:3]>>C-C(=O)-[N:1].S=[C:2]-[N:3]_001_000_000,1,94
94,[n:2].[c:1]-[Br:3]>>[c:1].[n:2]-C1-C-C-C-C-O-1.O=C1-C-C-C(=O)-N-1-[Br:3]_1-10_000_000,1,95
95,[N:2]-[C:3]-[n:1]>>[n:1].O=C(-[N:2])-c1:c:c:c:c:c:1.[C:3](-n1:c:c:n:c:1)-n1:c:c:n:c:1_100_000_000,1,96
96,[O:3].[O:4].[N:5].[N:1]-[C:2]>>[N:1].O=[C:2].C-C(-C)(-[O:3])-[O:4].O=C(-[N:5])-c1:c:c:c:c:c:1_1-1-1-1-1_00000_00000,1,97
97,[O:2].[O:3].[O:4].[C:1]-[S:5]>>Br-[C:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C-C-C-C-C-C-[S:5]_0-1-1-10_00000_00000,1,98
98,[O:1]-[C:3]=[O:2]>>O-[O:1].C1-C-[O:2]-[C:3]-O-1_001_000_000,1,99
99,[c:1]-[C:2]>>Br-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_02,1,100
100,[n:3].[N:1]-[C:2]>>[N:1].O-[C:2].[n:3]-C1-C-C-C-C-O-1_20-1_100_000,1,101
101,[O:1].[O:2].[O:3].[O:4]-[C:5]=[C:6]>>C-C(=O)-[O:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(=O)-[O:4]-[C:5]-[C:6]_-1-1-1-111_000000_000010,1,102
102,[O:3].[O:1]-[S:2]>>[O:1].Cl-[S:2].O=C(-[O:3])-c1:c:c:c:c:c:1_10-1_000_000,1,103
103,[C:1]1-[C:3]-[C:2]-[C:4]-1>>[C:1]1-[C:2]-[C:3]-[C:4]-1_0000_0000_0000,1,104
104,[O:4].[S:1]-[C:3]-[S:2]>>[S:1].[S:2].O=[C:3].C-C(-C)(-C)-[O:4]_110-1_0000_0000,1,105
105,[O:2].[c:3]1:[n:1]:[n:4]:[n:5]:[n:6]:1>>[N:1].C-[O:2].C-C-O-[C:3](-O-C-C)-O-C-C.[N:4]=[N:5]=[N:6]-[Na]_2-10000_000-110_000000,1,106
106,[O:4].[C:1]-[C:2]-[C:3]>>Br-[C:1].[C:2]=[C:3].[O:4]-C1-C-C-C-C-O-1_00-1-1_0000_0000,1,107
107,[O:4].[C:2]-[N:1]-[C:3]>>[N:1].Cl-[C:2].Cl-[C:3].C-C-[O:4]_200-1_0000_0000,1,108
108,[O:1]-[C:2]>>[O:1].C-C1(-C)-C2-C-C-[C@@]-1(-C-S(=O)(=O)-O-[C:2])-C(=O)-C-2_10_00_00,1,109
109,[O:2].[O:1]-[C:3]>>[O:1].C-C-[O:2].Br-[C:3]-P(=O)(-O-C-C)-O-C-C_1-1-1_000_000,1,110
110,[C:2]=[O:3].[O:5]-[B:4](-[O:6])-[c:1]>>I-[c:1].C-O-[C:2]-[O:3]-C.C-O-[B:4](-[O:5]-C)-[O:6]-C_0000-1-1_000000_000000,1,111
111,[N:3].[c:1]1:[c:2]:[n:6]:[n:5]:[n:4]:1>>[C:1]#[C:2].C-C(-C)(-C)-O-C(=O)-[N:3].[N:4]=[N:5]=[N:6]-[Na]_00-100-1_000-110_000000,1,112
112,[C:1]-[O:2]>>Br-[C:1].C-C(-C)(-C)-O-C(=O)-[O:2]_00_00_00,1,113
113,[N:4].[O:1]-[C:3]-[O:2]>>[O:1].[O:2].C1-C-O-[C:3]-O-1.C-C(-C)(-C)-O-C(=O)-[N:4]_110-1_0000_0000,1,114
114,[O:4].[O:2].[C:1]-[F:3]>>O-[C:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-C-N(-C-C)-S(-F)(-F)-[F:3].C-C(-C)(-C)-[Si](-[O:4])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_0-10-1_0000_0000,1,115
115,[N:6]-[c:5]1:[c:4]:[c:3]:[n:1]:[n:2]:1>>[N:1]-[N:2].Cl-[C:3]=[C:4]-[C:5]#[N:6]_12000-2_000000_000000,1,116
116,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-c1:c:c(-c2:n:c:n(/C=C\C(=O)-O-[C:2]):n:2):c:c(-C(-F)(-F)-F):c:1_10_00_00,1,117
117,[n:4].[C:2]-[C:3]-[O:1]>>[O:1].[C:2]=[C:3].C-c1:c:c:c(-S(=O)(=O)-[n:4]):c:c:1_1-10-1_0000_0000,1,118
118,[O:2].[O:3].[O:4].[O:5].[C:1]-[O:6]>>Br-[C:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5].C-C(=O)-[O:6]_0-1-1-1-10_000000_100000,1,119
119,[N:2].[c:1]-[B:3]>>Br-[c:1].C-C(-C)(-C)-O-C(=O)-[N:2].C-C1(-C)-O-B(-[B:3])-O-C-1(-C)-C_0-10_000_000,1,120
120,[O:1].[Br:2]-[C:3]>>C-[O:1].[Br:2]-[Li].C-S(=O)(=O)-O-[C:3]_-100_000_000,1,121
121,[N:5].[n:4].[C:1]-[S:3]=[O:2]>>Br-[C:1].[Na]-[O:2]-[S:3].C-[Si](-C)(-C)-C-C-O-C-[n:4].C-C(-C)(-C)-O-C(=O)-[N:5]_000-1-1_00000_00000,1,122
122,[n:4].[n:3].[N:1]-[c:2]>>[N:1].Cl-[c:2].[n:3]-C1-C-C-C-C-O-1.C-[Si](-C)(-C)-C-C-O-C-[n:4]_10-1-1_0000_0000,1,123
123,[O:3].[C:1]-[N:2]>>[C:1]=[N:2].[O:3]-C-c1:c:c:c:c:c:1_-1-1-1_000_000,1,124
124,[O:1]=[C:2]>>[O-]-[O+]=[O:1].C-c1:n:c(/C=[C:2]):c:s:1_00_00_00,1,125
125,[c:2]:[c:5]:[c:4]:[c:3]:[n:1]>>[n:1].O=[C:2].Br-[C:3]-[C:4]=[C:5]_10101_00000_00000,1,126
126,[N:1]-[C:2]-[C:3]-[O:4]>>[N:1].[c:2]:[c:3].C-C1(-C)-O-[O:4]-1_100-1_0000_0000,1,127
127,[C:1]=[C:3]/[N:2]>>[C:1].[N:2].C-C-O-[C:3](-O-C-C)-O-C-C_210_000_000,1,128
128,[C:1]-[c:3]:[n:2]>>C-C-O-[C:1].C-C(-C)(-C)-O-C(=O)-[n:2]:[c:3]_0-11_000_000,1,129
129,[N:1]-[C:2]>>O-[N:1]-C(=O)-[C:2]_-10_00_00,1,130
130,[n:1]:[c:2]:[c:3]>>O=[N:1]-[O-].C-C-N(-C-C)-[C:2]=[C:3]_-100_100_000,1,131
131,[n:3].[c:1]-[C:2]>>Br-[c:1].C-[Si](-C)(-C)-[C:2].C-[Si](-C)(-C)-C-C-O-C-[n:3]_00-1_000_000,1,132
132,[O:2].[O:1]=[C:3]>>[O:1].C-[O:2].O-N=[C:3]_2-10_000_000,1,133
133,[O:2].[O:1]-[C:3]>>[O:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].C-[C@H](-C-O-[Si](-C)(-C)-C(-C)(-C)-C)-O-[C:3]_1-10_000_000,1,134
134,[n:3].[O:1]-[C:2]>>[Na]-[O:1].C-C-O-[C:2].C-c1:c:c:c(-S(=O)(=O)-[n:3]):c:c:1_00-1_000_000,1,135
135,[C:1]-[C:2]=[C:3]>>O-[C:1]-[C:2]-[C:3]_-111_000_022,1,136
136,[O:1]-[C:2]>>[O:1].C-C-C-C-P(=O)(-O-[C:2])-C(-O-C-C)-O-C-C_10_00_00,1,137
137,[O:2].[O:3].[S:1]=[O:4]>>[S:1].C-[O:2].C-[O:3].Cl-c1:c:c:c:c(-C(=O)-O-[O:4]):c:1_0-1-11_0000_0000,1,138
138,[N:3].[O:4].[c:1]-[c:2]>>Br-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2].C-C(-C)(-[N:3])-[O:4]_00-1-1_0000_0000,1,139
139,[N:3].[O:1]-[C:2]>>[O:1].[C:2]-[O-].[N:3]-C-c1:c:c:c:c:c:1_10-1_000_000,1,140
140,[C:1]=[C:2]>>[C:1].C-C(=C)-O-[C:2]=[O:3]_20-1_000_000,1,141
141,[N:1]-[C:2]>>[N:1].F-c1:c:c:c(-C-c2:n:[nH]:c(=O):c3:c:c:c:c:c:2:3):c:c:1-C(=O)-N1-C-C-N(-C(=O)-C-N2-C-C-C(-O-C3-C-C-N(-C(=O)-[C@H](-N-[C:2])-C4-C-C-C-C-C-4)-C-C-3)-C-C-2)-C-C-1_10_00_00,1,142
142,[n:4].[O:1]=[C:2]-[N:3]>>[Na]-[O:1].[C:2]#[N:3].C-c1:c:c:c(-S(=O)(=O)-[n:4]):c:c:1_10-2-1_0000_0000,1,143
143,[O:2].[C:1]-[S:3]>>[C:1].C-[O:2].C-O-c1:c:c:c(-C-S-[S:3]):c:c:1_1-10_000_000,1,144
144,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-N-[C@@H](-C(=O)-N1-C-C-C-[C@@H]-1-C(=O)-N-c1:c:n2:c:c(-c3:c:c:c(-c4:[nH]:c(-[C@H]5-C-C-C-N-5-[C:2]):n:c:4):c:c:3):s:c:2:n:1)-c1:c:c:c:c:c:1_10_00_00,1,145
145,[N:4].[O:1]=[c:2]:[n:3]>>[O:1].F-[c:2]:[n:3].C-O-c1:c:c:c(-[N:4]):c:c:1_20-1-1_0000_0000,1,146
146,[O:3].[n:1]-[c:2]>>[n:1].Br-[c:2].[O:3]-C-c1:c:c:c:c:c:1_10-1_000_000,1,147
147,[O:1].[c:2]-[N:3]>>C-[O:1].N-[c:2].[N:3]-[Na]_-100_000_000,1,148
148,[N:1]=[C:2]-[O:3]>>[N:1].F-C(-F)(-F)-C(=O)-O-[C:2]=[O:3]_20-1_000_000,1,149
149,[n:2].[N:1]-[C:3]>>[N:1].C-c1:c:c:c(-S(=O)(=O)-[n:2]):c:c:1.C-c1:c:c:c(-S(=O)(=O)-O-[C:3]):c:c:1_1-10_000_000,1,150
150,[N:2].[c:1]-[C:3]>>Br-[c:1].C-C(-C)(-C)-[N:2].N#[C]-[Zn]-[C:3]_0-10_000_000,1,151
151,[N:4].[N:5].[n:1]-[c:3]:[n:2]>>[n:1].[O-]-[n:2]:[c:3].C-C(-C)(-C)-O-C(=O)-[N:4].C-C(-C)(-C)-O-C(=O)-[N:5]_101-1-1_01000_00000,1,152
152,[N:1]-[C:3]-[O:2]>>[N:1].[O:2].[K]-[O]-[C:3]-[O]-[K]_110_000_000,1,153
153,[c:1]-[C:2]-[N:3]>>[c:1].O=[C:2].C-C-O-C(=O)-[N:3]_100_000_000,1,154
154,[c:1]-[C:2]>>O-[c:1].O-B(-O)-[C:2]_00_00_00,1,155
155,[C:1]-[Br:2]>>[C:1].Br-[Br:2]_10_00_10,1,156
156,[N:4].[N:2]-[C:1]-[c:3]>>[C:1]-[N:2]-[c:3].C-c1:[n:4]:c(-C):c:c:1_1-10-2_0000_0000,1,157
157,[N:1]-[S:2]>>[N:1].[S:2]-S-C-c1:c:c:c:c:c:1_10_00_00,1,158
158,[C:1]-[N:2]>>Br-[C:1].C-C(-C)(-C)-[S@@](=O)-[N:2]_00_00_00,1,159
159,[N:3].[c:1]1:[n:6]:[c:5]:[c:4]:[n:2]:1>>[C:1]=[N:2].C-C(-C)(-C)-O-C(=O)-[N:3].O=[C:4]-[C:5]-[N:6]_00-1011_000000_000000,1,160
160,[n:4].[C:1]-[n:2]:[n:3]>>Cl-[C:1].[n:2]:[n:3].[n:4]-C1-C-C-C-C-O-1_001-1_0000_0000,1,161
161,[O:3].[c:1]-[C:2]>>I-[c:1].[C:2]-[Cu].C-O-C-[O:3]_00-1_000_000,1,162
162,[O:1]-[C:2]>>O-[O:1].O=C1-O-[C@H](-c2:c:c:c:c:c:2)-C-N-1-[C:2]_00_00_00,1,163
163,[N:2].[c:1]-[C:3]>>Br-[c:1].F-C(-F)(-F)-C(=O)-[N:2].C-B1-O-B(-C)-O-B(-[C:3])-O-1_0-10_000_000,1,164
164,[O:3].[C:1]-[C:2]>>[C:1].[C:2]-[O:3]_10-1_000_100,1,165
165,[N:3].[n:4].[c:1]-[c:2]>>I-[c:1].O-B(-O)-[c:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-C(-C)(-C)-O-C(=O)-[n:4]_00-1-1_0000_0000,1,166
166,[O:3].[N:1]-[c:2]>>[N:1].C-S-[c:2].C-C(-C)(-C)-[Si](-C)(-C)-[O:3]_10-1_000_000,1,167
