,Template,edit_site,change_H,change_C,change_S,Frequency
13,[C:1]-[Br:2]>>O-[C:1].Br-C(-Br)(-Br)-[Br:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1963
14,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",24271
15,[N:1]>>O=C(-[N:1])-O-C-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},4761
16,[I:1]-[C:2]>>I-[I:1].O-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",700
17,[C:2]-[C:3]-[O:1]>>[O:1].[C:2]=[C:3]_1-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",2773
18,[N:1]>>C-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1901
19,[C:1]-[N:2]>>[C:1]=[N:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",2034
20,[N:1]-[C:2]>>[N:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",54911
21,[N:1]-[C:2]>>[N:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",23325
22,[c:1]-[I:2]>>[c:1].I-[I:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2495
23,[O:1]>>C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},45824
24,[O:1]-[Si:2]>>[O:1].Cl-[Si:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",6415
25,[c:1]:[o:2]:[n:3]:[c:4]>>O-[c:1].[O:2]-[N:3]=[C:4]_0100_0000_0000,"{'A': [], 'B': [(1, 2)], 'C': [(4, 3), (3, 4)], 'R': []}","{1: 0, 2: 1, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",26
26,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},58503
27,[N:1]-[c:2]>>[N:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",55125
28,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",16241
29,[C:1]-[O:2]>>Br-[C:1].[O:2]-C-C-C-O-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
30,[C:1]-[Br:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3989
31,[N:1]-[C:2]>>[N-]=[N+]=[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_-10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: -1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",160
32,[N:1]-[C:2]-[N:3]>>[N:1].[C:2]=[N:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",8567
33,[C:1]-[C:2]>>[C:1]-[Na].Cl-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",346
34,[S:1]-[N:2]>>[S:1].C-C(-C)(-C)-O-[N:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",33
35,[N:2]-[C:3]-[c:1]>>[c:1].[N:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",425
36,[O:1]-[C:2]>>[O:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1813
37,[n:1]>>C-O-c1:c:c:c(-C(-O-[C@@H]2-[C@H](-F)-[C@H](-[n:1])-O-[C@@]-2(-C-O)-C-N=[N+]=[N-])(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
38,[n:1]>>C-[Si](-C)(-C)-C-C-O-C-[n:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2889
39,[O:1]>>C-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},25600
40,[c:1]-[C:2]-[O:3]>>[Br]-[Mg]-[c:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",733
41,[C:2]-[C:3]=[O:1]>>[O:1].[Br]-[Mg]-[C:2].N#[C:3]_200_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 2}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",125
42,[N:1]=[C:2]>>[N:1].O=[C:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",10165
43,[N:1]>>[N:1]-C-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2731
44,[C:1]-[c:3]:[n:2]>>C-[Si](-C)(-C)-[C:1].[O-]-[n:2]:[c:3]_001_010_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 1, 2: 0}","{1: 0, 3: 0, 2: 1}","{1: 0, 3: 0, 2: 0}",260
45,[C:1]=[C:2]>>O=[C:1].[C:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",3404
46,[c:1]-[C:2]>>Br-[c:1].N#[C]-[Zn]-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2286
47,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].[N:3]=[N:4]=[N:5]_00000_00-110_00000,"{'A': [], 'B': [(1, 5), (2, 3)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: -1, 4: 1, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",895
48,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",12060
49,[O:1]>>C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},3518
50,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2592
51,[O:2].[O:3].[O:1]>>[O:1]-C-c1:c:c:c:c:c:1.[O:2]-C(-c1:c:c:c:c:c:1)-[O:3]_-1-1-1_000_000,"{'A': [2, 1, 3], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
52,[c:1]-[Br:2]>>[c:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",7696
53,[O:1]-[C:2]>>[O:1].C-O-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",640
54,[C:1]-[Cl:2]>>O-[C:1].Cl-C(=O)-C(=O)-[Cl:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2652
55,[N:1]>>[N-]=[N+]=[N:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},2504
56,[n:1]:[c:3]:[n:2]>>[N:1].[N:2].O=[C:3]_121_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 1, 3: 1, 2: 2}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1145
57,[C:1]#[N:2]>>O=[C:1]-[N:2]_02_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: 0, 2: 2}","{1: 0, 2: 0}","{1: 0, 2: 0}",2606
58,[C:1]-[Br:2]>>O-[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",460
59,[n:1]-[C:2]>>[n:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",5942
60,[N:1]-[C:2]>>[N:1].C-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",5654
61,[C:1]-[C:2]>>[C:1]-[K].Cl-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",175
62,[c:1]-[c:2]>>Br-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",20586
63,[n:1]-[S:2]>>[n:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1972
64,[O:1]-[S:2]>>[O:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",12187
65,[S:1]-[C:2]>>[S:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",658
66,[c:1]-[Sn:2]>>[c:1].[Cl]-[Sn:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",390
67,[N:1]-[C:2]>>[N:1].O=[C:2]_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",34783
68,[O:1]-[c:2]>>[O:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",8801
69,[C:3].[N:1]-[S:2]>>[N:1].Cl-[S:2].C-[Si](-C)(-C)-[C:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",6
70,[Br:1]-[C:3]=[C:4]-[Br:2]>>[Br:1]-[Br:2].[C:3]#[C:4]_0000_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{4: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}",4
71,[N:1]-[C:2]>>[N:1].C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",8049
72,[N:1]-[C:2]>>[N:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",8316
73,[O:1]-[C:2]>>[O:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",23383
74,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",19107
75,[n:1]-[c:2]>>[n:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3115
76,[S:1]=[O:2]>>[S:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",2215
77,[O:3].[N:1]-[C:2]>>[N:1].O-[C:2].C-C(-C)(-C)-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",125
78,[N:1]>>C-[Si](-C)(-C)-C-C-O-C-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},194
79,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",9043
80,[c:1]-[c:2]>>Br-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",19539
81,[N:1]-[C:3]-[O:2]>>[N:1].[O:2].Cl-C(-Cl)(-Cl)-O-[C:3]-O-C(-Cl)(-Cl)-Cl_110_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",205
82,[N:1]-[C:2]>>O-[N:1]=[C:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -2}","{2: 0, 1: 0}","{2: 0, 1: 0}",474
83,[S:1]>>C-O-c1:c:c:c(-C-[S:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},98
84,[C:1]-[C:2]>>[C:1]=[C:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",8982
85,[c:1]-[C:2]>>Cl-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1394
86,[N:2].[O:1]>>C-[O:1].O=C(-[N:2])-O-C-c1:c:c:c:c:c:1_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",14
87,[O:1]-[Si:2]>>[O:1].F-C(-F)(-F)-S(=O)(=O)-O-[Si:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",501
88,[I:1]-[C:2]>>[I:1]-[Na].C-c1:c:c:c(-S(=O)(=O)-O-[C:2]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",82
89,[C:1]-[Cl:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Cl:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",443
90,[N:1]-[S:2]>>[N:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",18445
91,[C:1]-[Cl:2]>>O-[C:1].Cl-S(=O)-[Cl:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",5038
92,[c:1]-[N:2]>>[c:1].[K]-[O]-[N:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",816
93,[C:1]-[O:2]>>C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",7610
94,[c:2]1:[n:1]:[n:5]:[n:4]:[n:3]:1>>[N:1].C-O-[C:2](-O-C)-O-C.C-[Si](-C)(-C)-[N:3]=[N:4]=[N:5]_20000_0001-1_00000,"{'A': [], 'B': [(1, 2), (1, 5), (2, 3)], 'C': [], 'R': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0}","{1: 0, 2: 0, 3: 0, 4: 1, 5: -1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",100
95,[c:1]-[C:2]>>I-[c:1].C-[Si](-C)(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",253
96,[C:1]-[C:2]>>[C:1]-[Li].Br-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",13
97,[O:2].[O:3].[O:1]-[C:4]>>[O:1].C-[O:2].C-[O:3].Br-[C:4]_1-1-10_0000_0000,"{'A': [2, 3], 'B': [(1, 4)], 'C': [], 'R': []}","{1: 1, 4: 0, 2: -1, 3: -1}","{1: 0, 4: 0, 2: 0, 3: 0}","{1: 0, 4: 0, 2: 0, 3: 0}",5
98,[n:1]-[C:2]>>[n:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",7436
99,[c:3]1:[c:4]:[c:5]:[o:2]:[n:1]:1>>[N:1]-[O:2].O=[C:3]-[C:4]-[C:5]=O_21010_00000_00000,"{'A': [], 'B': [(1, 3), (2, 5)], 'C': [], 'R': []}","{3: 0, 4: 1, 5: 0, 2: 1, 1: 2}","{3: 0, 4: 0, 5: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 5: 0, 2: 0, 1: 0}",65
100,[N:1]-[c:2]>>[N:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",14157
101,[C:1]-[C:2]>>[C:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4779
102,[c:1]:[c:2]:[c:3]:[n:4]>>[c:1].[C:2]-[C:3]=N-[N:4]_1200_0000_0000,"{'A': [], 'B': [(1, 2), (3, 4)], 'C': [], 'R': []}","{2: 2, 3: 0, 4: 0, 1: 1}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",40
103,[c:1]-[Cl:2]>>N-[c:1].[Cl:2]-[Cu]-[Cl]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",475
104,[O:1]-[C:2]-[N:4]-[c:3]>>[O:1].O-[C:2]-[c:3].O=P(-O-c1:c:c:c:c:c:1)(-O-c1:c:c:c:c:c:1)-[N:4]=[N+]=[N-]_100-1_0000_0000,"{'A': [], 'B': [(3, 4), (2, 4), (1, 2)], 'C': [], 'R': []}","{3: 0, 4: -1, 2: 0, 1: 1}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}",993
105,[c:1]-[c:2]>>Cl-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",8553
106,[N:1]-[C:2]>>[N:1].O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 2, 2: 0}","{1: 1, 2: 0}","{1: 0, 2: 0}",3287
107,[Cl:1]-[c:2]:[n:3]>>Cl-P(-Cl)(=O)-[Cl:1].O=[c:2]:[n:3]_001_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{3: 1, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1228
108,[c:1]-[C:2]>>[c:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1728
109,[n:1]-[c:2]>>[n:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1624
110,[n:1].[n:2]>>[n:1].C-[Si](-C)(-C)-C-C-O-C-[n:2]_-10_00_00,"{'A': [2], 'B': [], 'C': [], 'R': [1, 1]}","{1: -1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",61
